Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C5,19.575000mm,52.000000mm,Top,90.0,19.575000mm,52.000000mm
C6,11.075000mm,65.000000mm,Top,-90.0,11.075000mm,65.000000mm
C7,13.075000mm,65.000000mm,Top,-90.0,13.075000mm,65.000000mm
C8,15.075000mm,65.000000mm,Top,-90.0,15.075000mm,65.000000mm
C9,17.075000mm,65.000000mm,Top,-90.0,17.075000mm,65.000000mm
C10,19.075000mm,65.000000mm,Top,-90.0,19.075000mm,65.000000mm
C11,7.700000mm,59.000000mm,Top,-90.0,7.700000mm,59.000000mm
C12,7.700000mm,56.000000mm,Top,90.0,7.700000mm,56.000000mm
C13,22.500000mm,57.040000mm,Top,-90.0,22.500000mm,57.040000mm
C14,8.000000mm,15.000000mm,Top,-90.0,8.000000mm,15.000000mm
D1,61.000000mm,51.450000mm,Top,270.0,61.000000mm,51.450000mm
D2,74.500000mm,45.000000mm,Top,90.0,74.500000mm,45.000000mm
D3,68.500000mm,39.500000mm,Top,90.0,68.500000mm,39.500000mm
D4,74.500000mm,39.500000mm,Top,90.0,74.500000mm,39.500000mm
D5,62.500000mm,43.500000mm,Top,90.0,62.500000mm,43.500000mm
D6,56.500000mm,43.500000mm,Top,90.0,56.500000mm,43.500000mm
D7,68.500000mm,45.000000mm,Top,90.0,68.500000mm,45.000000mm
D8,74.500000mm,34.000000mm,Top,90.0,74.500000mm,34.000000mm
D9,68.500000mm,34.000000mm,Top,90.0,68.500000mm,34.000000mm
D12,19.778185mm,14.000000mm,Top,0.0,19.778185mm,14.000000mm
F1,68.400000mm,65.500000mm,Top,-90.0,68.400000mm,65.500000mm
F2,53.000000mm,65.000000mm,Top,-90.0,53.000000mm,65.000000mm
F3,50.500000mm,65.000000mm,Top,-90.0,50.500000mm,65.000000mm
G1,66.460000mm,7.880000mm,Top,90.0,66.460000mm,7.880000mm
G2,74.692000mm,7.880000mm,Top,90.0,74.692000mm,7.880000mm
G3,13.000000mm,5.500000mm,Top,0.0,13.000000mm,5.500000mm
G4,3.500000mm,13.500000mm,Top,90.0,3.500000mm,13.500000mm
J1,77.404267mm,89.716479mm,Top,0.0,77.404267mm,89.716479mm
J2,21.625000mm,35.300000mm,Top,-90.0,21.625000mm,35.300000mm
M1,34.424999mm,61.325001mm,Top,-90.0,34.424999mm,61.325001mm
M2,24.025000mm,56.475000mm,Top,-90.0,24.025000mm,56.475000mm
M3,33.025000mm,62.025001mm,Top,180.0,33.025000mm,62.025001mm
M4,61.925005mm,5.025000mm,Top,90.0,61.925005mm,5.025000mm
M5,56.875000mm,61.204993mm,Top,-90.0,56.875000mm,61.204993mm
Q1,12.160000mm,23.500000mm,Top,0.0,12.160000mm,23.500000mm
Q2,12.160000mm,31.000000mm,Top,0.0,12.160000mm,31.000000mm
Q3,12.160000mm,38.500000mm,Top,0.0,12.160000mm,38.500000mm
Q4,12.160000mm,46.000000mm,Top,0.0,12.160000mm,46.000000mm
Q5,77.500000mm,45.500000mm,Top,270.0,77.500000mm,45.500000mm
Q6,71.500000mm,40.000000mm,Top,270.0,71.500000mm,40.000000mm
Q7,77.500000mm,40.000000mm,Top,270.0,77.500000mm,40.000000mm
Q8,57.450000mm,51.437500mm,Top,270.0,57.450000mm,51.437500mm
Q9,65.500000mm,44.062500mm,Top,270.0,65.500000mm,44.062500mm
Q10,59.500000mm,44.000000mm,Top,270.0,59.500000mm,44.000000mm
Q11,71.500000mm,45.500000mm,Top,270.0,71.500000mm,45.500000mm
Q12,77.500000mm,34.500000mm,Top,270.0,77.500000mm,34.500000mm
Q13,71.500000mm,34.500000mm,Top,270.0,71.500000mm,34.500000mm
R1,64.000000mm,65.500000mm,Top,-90.0,64.000000mm,65.500000mm
R2,60.500000mm,65.500000mm,Top,-90.0,60.500000mm,65.500000mm
R3,55.300000mm,65.500000mm,Top,-90.0,55.300000mm,65.500000mm
R4,71.400000mm,65.500000mm,Top,-90.0,71.400000mm,65.500000mm
R5,57.800000mm,65.500000mm,Top,-90.0,57.800000mm,65.500000mm
R6,77.000000mm,65.500000mm,Top,-90.0,77.000000mm,65.500000mm
R7,75.100000mm,65.500000mm,Top,-90.0,75.100000mm,65.500000mm
R8,73.300000mm,65.500000mm,Top,-90.0,73.300000mm,65.500000mm
R9,37.500000mm,66.500000mm,Top,-90.0,37.500000mm,66.500000mm
R10,35.500000mm,66.500000mm,Top,-90.0,35.500000mm,66.500000mm
R11,10.095000mm,68.500000mm,Top,0.0,10.095000mm,68.500000mm
R12,22.000000mm,66.500000mm,Top,-90.0,22.000000mm,66.500000mm
R13,33.500000mm,66.500000mm,Top,-90.0,33.500000mm,66.500000mm
R14,31.500000mm,66.500000mm,Top,-90.0,31.500000mm,66.500000mm
R15,28.250000mm,66.500000mm,Top,-90.0,28.250000mm,66.500000mm
R16,24.500000mm,66.500000mm,Top,-90.0,24.500000mm,66.500000mm
R17,24.000000mm,20.500000mm,Top,90.0,24.000000mm,20.500000mm
R18,22.500000mm,60.540000mm,Top,90.0,22.500000mm,60.540000mm
R19,20.500000mm,17.912500mm,Top,-90.0,20.500000mm,17.912500mm
R20,18.500000mm,17.912500mm,Top,90.0,18.500000mm,17.912500mm
R33,77.500000mm,43.000000mm,Top,0.0,77.500000mm,43.000000mm
R34,71.500000mm,37.500000mm,Top,0.0,71.500000mm,37.500000mm
R35,77.500000mm,37.500000mm,Top,0.0,77.500000mm,37.500000mm
R36,57.450000mm,48.937500mm,Top,0.0,57.450000mm,48.937500mm
R37,65.000000mm,41.500000mm,Top,0.0,65.000000mm,41.500000mm
R38,59.500000mm,41.500000mm,Top,0.0,59.500000mm,41.500000mm
R39,71.500000mm,43.000000mm,Top,0.0,71.500000mm,43.000000mm
R40,77.500000mm,32.000000mm,Top,0.0,77.500000mm,32.000000mm
R41,71.500000mm,32.000000mm,Top,0.0,71.500000mm,32.000000mm
R44,65.500000mm,28.100000mm,Top,0.0,65.500000mm,28.100000mm
R45,69.100000mm,28.100000mm,Top,180.0,69.100000mm,28.100000mm
R46,65.000000mm,52.000000mm,Top,0.0,65.000000mm,52.000000mm
R47,69.000000mm,52.000000mm,Top,180.0,69.000000mm,52.000000mm
R52,64.400000mm,47.062500mm,Top,180.0,64.400000mm,47.062500mm
R53,59.100000mm,47.062500mm,Top,0.0,59.100000mm,47.062500mm
U1,15.375000mm,58.500000mm,Top,0.0,15.375000mm,58.500000mm
U4,75.000000mm,28.265000mm,Top,270.0,75.000000mm,28.265000mm
U5,75.000000mm,22.500000mm,Top,270.0,75.000000mm,22.500000mm
U7,13.000000mm,15.500000mm,Top,270.0,13.000000mm,15.500000mm
U10,75.000000mm,57.500000mm,Top,270.0,75.000000mm,57.500000mm
U11,75.000000mm,50.500000mm,Top,270.0,75.000000mm,50.500000mm
